Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-09-12,2370.07,2399.23,2366.58,2399.23,25045088
2013-09-13,2388.44,2394.83,2374.65,2375.44,20464562
2013-09-16,2409.96,2410.55,2354.47,2354.66,18224910
2013-09-17,2340.8,2365.36,2332.83,2365.36,17310155
2013-09-18,2361.7,2375.47,2350.42,2363.78,15422619
2013-09-19,2418.02,2421.13,2391.65,2410.92,31957574
2013-09-20,2408.89,2417.41,2387.69,2408.16,32915056
2013-09-23,2399.44,2417.15,2379.19,2388.66,42602017
2013-09-24,2392.96,2400.05,2380.16,2393.06,17635085
2013-09-25,2387.9,2414.74,2379.9,2407.12,32598391
2013-09-26,2418.06,2445.36,2413.93,2435.83,22239817
2013-09-27,2441,2447.95,2415.5,2422.46,24360073
2013-09-30,2402.4,2412.91,2391.53,2391.53,21515916
2013-10-01,2381.18,2413.17,2377.32,2413.17,18929307
2013-10-02,2405.63,2414.4,2390.36,2412.37,23678764
2013-10-03,2415.05,2427.4,2411.27,2420.17,18218832
2013-10-04,2412.99,2415.34,2392.04,2394.59,22902024
2013-10-07,2386.07,2386.84,2356.84,2380.18,26292297
2013-10-08,2381.62,2384.16,2366.2,2373.23,21040960
2013-10-09,2371.84,2386.56,2357.02,2384.3,18815115
2013-10-10,2395.64,2474.54,2395.64,2468.7,57199336
2013-10-11,2483.34,2500.51,2468.51,2489.64,23287609
